10/01 15:30	曇	27.4	-	10	15	15	-	5	35	5	5	5	5	70	15	-	60	-	10	10	5	15	30	5	15	30	20	10	5	5	5	-	20	50	-	55	95	70	15	-	25	-	30	25	25
10/02 15:30	晴	25.0	-	20	25	20	-	5	60	10	5	5	5	100	20	-	75	60	20	10	10	15	30	5	20	45	25	5	5	5	5	-	20	75	-	60	120	80	15	-	30	15	30	30	32
10/03 15:30	晴	26.0	-	10	-	15	-	5	35	5	5	5	5	65	15	-	50	35	5	10	5	15	25	5	15	35	15	5	5	5	5	-	10	55	-	45	130	55	15	-	20	15	30	35	24
10/04 15:30	曇	19.9	-	5	-	5	-	5	30	10	5	5	5	45	10	5	55	50	5	10	5	10	20	10	15	25	10	5	5	5	5	-	15	35	-	40	85	40	15	-	25	15	20	25	20
10/05 15:30	晴	25.2	5	15	-	15	-	5	50	5	5	5	5	70	15	-	60	60	5	5	15	10	30	5	15	35	20	10	5	5	5	-	10	65	-	60	115	55	15	-	20	15	25	25	26
10/06 15:30	晴	25.0	-	10	-	10	-	5	30	5	5	5	5	55	15	5	70	60	5	5	5	5	25	5	15	35	10	5	5	5	5	-	15	35	-	45	100	55	15	-	15	5	25	25	22
10/07 15:30	晴	23.9	-	20	-	25	-	5	70	30	5	5	5	80	15	15	82	90	10	10	15	10	35	5	15	35	20	10	5	5	5	30	15	50	-	40	120	80	15	-	25	20	35	40	31
10/08 15:30	曇	20.0	-	15	-	15	-	5	60	10	5	5	5	95	35	10	90	90	10	10	10	5	30	5	15	35	20	15	5	5	5	25	10	60	-	60	150	85	15	-	30	20	25	35	32
10/09 15:30	雨	17.7	-	10	-	15	-	5	15	10	5	5	5	40	5	-	70	-	15	5	25	20	45	15	30	5	5	5	5	5	5	30	40	65	-	75	100	70	15	-	35	25	35	30	27
10/10 15:30	晴	24.3	-	25	-	-	-	5	75	15	5	5	5	135	20	20	75	95	15	15	15	15	40	10	20	40	35	15	5	5	5	30	30	85	-	75	125	80	15	-	25	40	30	30	37
10/11 15:30	晴	22.7	5	15	-	15	-	5	55	10	5	5	5	75	5	15	60	70	5	15	10	10	20	5	15	40	15	5	5	5	5	25	10	55	-	50	95	90	15	-	30	25	30	25	26
10/12 15:30	晴	22.4	-	15	-	15	-	5	50	10	5	5	5	65	5	15	55	80	10	15	15	10	25	10	20	45	10	5	5	5	5	25	10	-	-	50	100	45	15	-	10	10	35	30	25
10/13 15:30	晴	22.1	-	15	-	20	-	5	45	5	5	5	-	70	10	5	70	50	10	5	10	10	30	5	15	40	15	10	5	5	5	25	5	55	-	45	120	60	15	-	25	15	35	35	26
10/14 15:30	晴	22.6	-	10	-	20	-	5	60	15	5	5	5	60	35	5	82	50	5	15	10	5	30	5	15	35	10	5	5	5	5	30	10	65	-	70	120	80	15	-	35	25	35	35	29
10/15 15:30	曇	16.5	-	5	-	5	-	5	45	10	5	5	5	30	5	5	40	40	5	5	5	5	20	5	10	30	15	5	5	5	5	25	10	30	-	50	90	65	15	-	20	20	30	20	20
10/16 15:30	晴	24.4	5	10	-	15	-	5	55	5	5	5	5	90	10	10	82	90	15	10	5	10	25	5	15	40	20	10	5	5	5	30	15	60	-	55	110	70	15	-	30	10	25	30	28
10/17 15:30	晴	25.5	-	10	-	5	-	5	50	15	5	5	5	75	10	5	65	40	15	10	5	10	25	5	10	30	15	10	5	5	5	25	10	60	-	60	115	55	15	-	35	15	30	30	26
10/18 15:30	晴	23.4	-	15	-	10	-	5	40	10	5	5	5	75	5	5	60	50	10	5	5	10	25	5	15	30	15	5	5	5	5	20	25	55	-	45	110	65	15	-	35	25	35	40	26
10/19 15:30	曇	23.9	-	10	-	10	-	5	55	10	5	5	5	70	5	10	65	70	5	5	5	5	25	5	15	30	15	5	5	5	5	20	20	60	-	50	110	55	15	-	30	15	35	30	26
10/20 15:30	晴	24.3	-	20	-	30	-	5	65	10	5	5	5	85	15	15	82	100	10	20	25	15	35	15	20	35	25	15	5	5	5	30	10	55	-	75	130	75	15	-	75	70	55	60	38
10/21 15:30	曇	20.5	-	10	-	15	-	5	65	5	5	5	5	75	5	10	70	90	10	5	10	5	30	15	15	30	15	10	5	5	5	20	5	50	-	70	150	80	15	-	35	25	25	35	30
10/22 15:30	晴	19.6	-	15	-	15	-	5	60	10	5	5	5	85	15	10	60	70	-	5	5	15	25	5	15	30	10	5	5	5	5	20	10	50	-	55	120	65	15	-	35	35	35	35	28
10/23 15:30	晴	22.6	-	15	-	15	-	5	60	20	5	5	5	85	10	10	110	60	15	5	5	10	25	15	20	35	20	10	5	5	5	25	15	60	-	55	135	80	15	-	20	15	25	25	30
10/24 15:30	晴	23.1	-	10	-	5	-	5	35	15	5	5	5	50	5	5	45	50	5	10	5	5	20	10	15	30	15	5	5	5	5	20	5	40	-	40	80	55	15	-	25	15	25	25	20
10/25 15:30	晴	21.5	-	5	-	5	-	5	40	10	5	5	5	45	5	5	45	50	5	5	5	5	20	10	10	25	10	5	5	5	5	15	5	40	-	35	90	45	15	-	20	10	25	30	19
10/26 15:30	晴	22.9	-	15	-	5	-	5	40	5	5	5	5	50	10	5	45	70	5	5	5	5	35	5	15	30	5	5	5	5	5	20	10	50	-	45	110	40	15	-	30	15	30	25	22
10/27 15:30	晴	22.5	-	10	-	10	-	5	40	15	5	5	5	50	20	5	95	60	5	5	5	10	25	5	10	35	15	5	5	5	5	30	5	55	-	40	115	50	15	-	35	20	35	35	26
10/28 15:30	晴	20.7	-	10	15	10	-	5	50	10	5	5	5	70	10	5	55	90	5	5	5	5	25	5	15	35	10	5	5	5	5	25	15	60	-	40	110	65	15	-	25	20	30	30	25
10/29 15:30	曇	19.5	-	10	25	10	-	5	50	25	5	5	5	60	10	5	50	75	5	10	15	5	20	5	15	30	15	5	5	5	5	20	10	50	-	45	100	65	25	-	25	25	30	20	25
10/30 15:30	晴	21.1	-	10	15	10	-	5	60	10	5	5	5	80	-	15	70	-	10	10	10	10	30	5	20	45	25	5	5	5	5	20	15	75	-	45	125	65	15	-	20	5	25	30	27
10/31 15:30	曇	20.9	-	5	5	5	-	5	20	5	5	5	5	10	5	5	25	10	5	5	5	5	10	5	5	20	5	5	5	5	5	5	5	25	-	20	40	25	15	-	25	15	10	15	10
11/01 15:30	晴	22.2	10	25	20	35	-	5	60	5	5	5	5	75	-	20	75	75	25	25	20	15	35	15	25	40	35	10	5	5	5	30	30	65	60	65	120	65	15	-	50	40	50	55	36
11/02 15:30	晴	24.4	-	20	20	30	-	5	65	10	5	5	5	85	15	15	82	100	10	20	25	15	35	15	20	35	25	15	5	5	5	30	10	55	75	-	130	75	15	-	75	70	55	60	37
11/03 15:30	晴	23.1	30	25	35	25	-	5	75	25	5	-	20	125	-	30	95	90	20	25	30	20	55	30	30	40	45	25	5	5	5	45	35	90	55	-	-	100	20	-	45	45	45	70	43
11/04 15:30	晴	23.6	10	30	30	35	-	5	70	15	5	5	20	110	-	30	100	110	20	25	40	25	40	20	25	50	40	20	5	5	5	35	35	95	75	-	-	100	20	-	35	25	50	70	41
11/05 15:30	曇	22.6	5	25	20	30	-	5	55	15	5	5	5	80	-	20	60	70	15	20	20	10	35	10	20	45	25	15	5	5	5	30	10	50	45	-	140	85	15	-	35	20	45	50	32
11/06 15:30	曇	22.4	10	25	25	30	-	5	65	20	5	5	5	100	-	25	82	90	20	30	30	20	30	20	25	50	35	15	5	5	5	35	20	70	50	-	180	90	15	-	45	35	50	55	40
11/07 15:30	曇	24.1	5	15	15	20	-	-	45	10	5	5	5	60	-	15	50	60	10	15	20	15	30	10	15	30	15	10	5	5	5	25	30	40	45	-	90	50	15	-	50	30	40	50	27
